system:time_start,NDVI
"Sep 29, 2009",0.235
"Oct 15, 2009",0.207
"Oct 31, 2009",0.196
"Nov 16, 2009",0.184
"Dec 2, 2009",0.013
"Dec 18, 2009",0.003
"Jan 19, 2010",
"Feb 4, 2010",-0.037
"Feb 20, 2010",
"Mar 24, 2010",-0.249
"Apr 9, 2010",-0.251
"Apr 25, 2010",-0.419
"May 11, 2010",
"May 27, 2010",0.133
"Jun 12, 2010",0.186
"Jun 28, 2010",
"Jul 30, 2010",
"Aug 15, 2010",0.278
"Aug 31, 2010",
"Sep 16, 2010",0.267
"Oct 2, 2010",0.245
"Oct 18, 2010",0.289
"Nov 3, 2010",0.188
"Nov 19, 2010",0.178
"Dec 5, 2010",0.165
"Dec 21, 2010",
"Jan 6, 2011",
"Jan 22, 2011",-0.015
"Feb 7, 2011",0.002
"Mar 11, 2011",
"Mar 27, 2011",0.155
"Apr 12, 2011",0.155
"Apr 28, 2011",0.158
"May 14, 2011",0.174
"May 30, 2011",0.186
"Jun 15, 2011",0.186
"Jul 1, 2011",0.205
"Jul 17, 2011",0.238
"Aug 2, 2011",0.256
"Aug 18, 2011",
"Sep 3, 2011",0.318
"Sep 19, 2011",0.298
"Oct 5, 2011",
"Oct 21, 2011",0.211
"Nov 6, 2011",
