date,ndvi
01/25/15,
02/26/15,
03/14/15,
03/30/15,0.407
04/15/15,
05/01/15,0.452
05/17/15,
06/02/15,0.471
06/18/15,0.501
07/04/15,
07/20/15,
08/05/15,0.459
08/21/15,
09/06/15,
09/22/15,
10/08/15,0.574
10/24/15,0.598
11/09/15,0.549
11/25/15,
12/11/15,0.301
12/27/15,0.04
01/12/16,0.187
01/28/16,0.219
02/13/16,0.341
02/29/16,0.372
03/16/16,0.436
04/01/16,
04/17/16,
05/03/16,0.267
05/19/16,
06/20/16,0.499
07/06/16,0.555
07/22/16,0.503
08/07/16,0.574
08/23/16,0.585
09/08/16,0.582
09/24/16,
10/10/16,0.579
10/26/16,0.563
11/11/16,0.541
11/27/16,0.575
12/13/16,0.409
12/29/16,
01/14/17,
01/30/17,0.293
02/15/17,0.245
03/03/17,
03/19/17,0.387
04/04/17,0.457
04/20/17,0.501
05/06/17,0.441
05/22/17,0.499
06/07/17,0.499
06/23/17,
07/09/17,
07/25/17,
08/10/17,
09/11/17,
09/27/17,
10/13/17,0.244
10/29/17,0.252
11/14/17,0.253
12/16/17,
01/01/18,0.224
01/17/18,0.189
02/02/18,
02/18/18,
03/06/18,0.079
03/22/18,0.232
04/07/18,0.222
