system:time_start,NDVI
"Oct 28, 2005",0.494
"Nov 13, 2005",0.56
"Nov 29, 2005",0.535
"Dec 15, 2005",
"Dec 31, 2005",
"Jan 16, 2006",
"Feb 1, 2006",0.533
"Feb 17, 2006",
"Mar 5, 2006",0.496
"Mar 21, 2006",
"Apr 6, 2006",0.502
"Apr 22, 2006",
"May 8, 2006",0.479
"May 24, 2006",0.499
"Jun 9, 2006",
"Jun 25, 2006",0.383
"Jul 11, 2006",0.45
"Aug 12, 2006",0.557
"Aug 28, 2006",
"Sep 13, 2006",
"Sep 29, 2006",
"Oct 15, 2006",0.48
"Oct 31, 2006",0.447
"Nov 16, 2006",0.506
"Dec 2, 2006",0.504
"Dec 18, 2006",
"Jan 3, 2007",
"Jan 19, 2007",
"Feb 4, 2007",0.167
"Feb 20, 2007",
"Mar 8, 2007",0.458
"Mar 24, 2007",
"Apr 9, 2007",0.483
"Apr 25, 2007",0.474
"May 11, 2007",
"May 27, 2007",
"Jun 12, 2007",
"Jun 28, 2007",
"Jul 14, 2007",
"Jul 30, 2007",
"Aug 15, 2007",0.565
"Aug 31, 2007",0.553
"Sep 16, 2007",
"Oct 18, 2007",0.528
"Nov 3, 2007",0.514
"Nov 19, 2007",0.528
"Dec 5, 2007",0.541
"Dec 21, 2007",
"Jan 6, 2008",
"Jan 22, 2008",0.474
"Feb 7, 2008",
"Feb 23, 2008",0.465
"Mar 10, 2008",0.502
"Mar 26, 2008",0.479
"Apr 11, 2008",0.476
"Apr 27, 2008",0.479
"May 13, 2008",0.455
"May 29, 2008",0.488
"Jun 14, 2008",0.443
"Jun 30, 2008",0.481
"Jul 16, 2008",0.59
"Aug 1, 2008",0.531
"Aug 17, 2008",
"Sep 2, 2008",
"Sep 18, 2008",
"Oct 4, 2008",0.434
"Oct 20, 2008",0.508
"Nov 5, 2008",0.499
"Nov 21, 2008",0.511
"Dec 7, 2008",
"Dec 23, 2008",
"Jan 8, 2009",0.364
"Jan 24, 2009",0.574
"Feb 9, 2009",0.162
"Feb 25, 2009",0.533
"Mar 13, 2009",
"Mar 29, 2009",0.467
"Apr 14, 2009",0.497
"Apr 30, 2009",0.474
"May 16, 2009",0.487
"Jun 1, 2009",0.527
"Jun 17, 2009",0.517
"Jul 3, 2009",
"Jul 19, 2009",0.58
"Aug 4, 2009",0.582
"Aug 20, 2009",0.601
"Sep 5, 2009",
"Sep 21, 2009",0.6
"Oct 23, 2009",0.567
"Nov 8, 2009",0.513
"Nov 24, 2009",0.551
"Dec 10, 2009",0.195
"Dec 26, 2009",0.149
"Jan 11, 2010",0.359
"Feb 12, 2010",0.045
"Mar 16, 2010",-0.465
"Apr 1, 2010",
"Apr 17, 2010",
"May 3, 2010",0.496
"May 19, 2010",0.492
"Jun 4, 2010",0.502
"Jun 20, 2010",0.559
"Jul 6, 2010",
"Jul 22, 2010",
"Aug 7, 2010",
"Aug 23, 2010",
"Sep 8, 2010",0.65
"Sep 24, 2010",0.606
"Oct 10, 2010",0.566
"Oct 26, 2010",0.521
"Nov 11, 2010",0.569
"Nov 27, 2010",0.414
"Dec 13, 2010",0.55
"Dec 29, 2010",
"Jan 14, 2011",0.431
"Jan 30, 2011",0.514
"Feb 15, 2011",0.521
"Mar 3, 2011",0.49
"Mar 19, 2011",0.509
"Apr 4, 2011",0.523
"Apr 20, 2011",0.49
"May 6, 2011",0.479
"May 22, 2011",0.19
"Jun 7, 2011",0.207
"Jun 23, 2011",0.202
"Jul 9, 2011",0.201
"Jul 25, 2011",
"Aug 10, 2011",
"Aug 26, 2011",0.261
"Sep 11, 2011",0.269
"Sep 27, 2011",
"Oct 13, 2011",0.202
"Oct 29, 2011",0.196
"Nov 14, 2011",0.16
"Nov 30, 2011",0.215
"Dec 16, 2011",-0.192
"Jan 1, 2012",0.043
"Jan 17, 2012",-0.145
"Feb 2, 2012",0.176
"Feb 18, 2012",
"Mar 5, 2012",0.183
"Mar 21, 2012",-0.619
"Apr 6, 2012",0.179
"Apr 22, 2012",0.172
"May 8, 2012",0.188
"May 24, 2012",0.227
"Jun 9, 2012",0.233
"Jun 25, 2012",
"Jul 11, 2012",
"Jul 27, 2012",0.311
"Aug 12, 2012",0.298
"Aug 28, 2012",0.33
"Sep 13, 2012",
"Sep 29, 2012",0.222
"Oct 15, 2012",
"Oct 31, 2012",0.2
"Nov 16, 2012",0.178
"Dec 2, 2012",0.199
"Dec 18, 2012",0.007
"Jan 3, 2013",
"Jan 19, 2013",0.178
"Feb 4, 2013",
"Feb 20, 2013",
"Mar 8, 2013",
"Mar 24, 2013",0.195
"Apr 9, 2013",
"Apr 25, 2013",0.176
"May 11, 2013",
"May 27, 2013",
"Jun 12, 2013",0.225
"Jun 28, 2013",0.24
"Jul 14, 2013",
"Jul 30, 2013",0.275
"Aug 15, 2013",0.328
"Aug 31, 2013",0.337
"Sep 16, 2013",0.389
"Oct 2, 2013",0.319
"Oct 18, 2013",0.281
"Nov 3, 2013",
"Nov 19, 2013",0.231
"Jan 6, 2014",0.2
"Jan 22, 2014",0.203
"Feb 7, 2014",
"Feb 23, 2014",0.175
"Mar 11, 2014",0.202
"Mar 27, 2014",0.195
"Apr 12, 2014",
"Apr 28, 2014",0.201
"May 14, 2014",0.215
"May 30, 2014",
"Jun 15, 2014",0.29
"Jul 1, 2014",0.278
"Jul 17, 2014",0.377
"Aug 18, 2014",0.393
"Sep 3, 2014",
"Sep 19, 2014",
"Oct 5, 2014",0.278
"Oct 21, 2014",0.263
"Nov 6, 2014",0.248
"Nov 22, 2014",0.218
"Dec 8, 2014",0.191
"Dec 24, 2014",0.197
"Jan 9, 2015",
"Jan 25, 2015",
"Feb 26, 2015",0.2
"Mar 14, 2015",
"Mar 30, 2015",
"Apr 15, 2015",0.167
"May 1, 2015",0.183
"May 17, 2015",0.197
"Jun 2, 2015",0.261
"Jun 18, 2015",0.339
"Jul 4, 2015",
"Jul 20, 2015",0.387
"Aug 5, 2015",0.428
"Aug 21, 2015",
"Sep 6, 2015",
"Oct 8, 2015",
"Oct 24, 2015",0.289
"Nov 9, 2015",0.224
"Nov 25, 2015",
"Dec 11, 2015",
"Dec 27, 2015",
"Jan 12, 2016",-0.154
"Jan 28, 2016",0.173
"Feb 13, 2016",0.192
"Feb 29, 2016",0.185
"Mar 16, 2016",0.192
"Apr 1, 2016",
"Apr 17, 2016",0.206
"May 3, 2016",0.197
"May 19, 2016",
"Jun 20, 2016",0.293
"Jul 6, 2016",
"Jul 22, 2016",0.358
"Aug 7, 2016",0.363
"Aug 23, 2016",0.405
"Sep 24, 2016",
"Oct 10, 2016",0.301
"Oct 26, 2016",0.271
"Nov 11, 2016",
"Nov 27, 2016",
"Dec 13, 2016",0.201
"Jan 14, 2017",0.181
"Jan 30, 2017",-0.336
"Feb 15, 2017",-0.1
"Mar 19, 2017",0.186
"Apr 4, 2017",0.184
"Apr 20, 2017",0.185
"May 6, 2017",0.199
"May 22, 2017",0.226
"Jun 7, 2017",
"Jun 23, 2017",
"Jul 9, 2017",
"Jul 25, 2017",
"Aug 10, 2017",0.344
"Aug 26, 2017",0.324
"Sep 11, 2017",0.317
"Sep 27, 2017",0.235
"Oct 13, 2017",
"Oct 29, 2017",0.229
"Nov 14, 2017",0.215
"Nov 30, 2017",
"Dec 16, 2017",0.213
"Jan 1, 2018",0.182
"Jan 17, 2018",0.18
"Feb 18, 2018",
"Mar 22, 2018",0.178
"Apr 7, 2018",0.167
